"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Carli M.; Kolachalam S.; Longoni B.; Pintaudi A.; Baldini M.; Aringhieri S.; Fasciani I.; Annibale P.; Maggio R.; Scarselli M.","Carli, Marco (57193510195); Kolachalam, Shivakumar (57188770105); Longoni, Biancamaria (7004057756); Pintaudi, Anna (6603655954); Baldini, Marco (57527554500); Aringhieri, Stefano (57188770629); Fasciani, Irene (55923596100); Annibale, Paolo (16315219800); Maggio, Roberto (7005576147); Scarselli, Marco (7004003651)","57193510195; 57188770105; 7004057756; 6603655954; 57527554500; 57188770629; 55923596100; 16315219800; 7005576147; 7004003651","Atypical antipsychotics and metabolic syndrome: From molecular mechanisms to clinical differences","2021","Pharmaceuticals","14","3","238","","","","116","10.3390/ph14030238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103035093&doi=10.3390%2fph14030238&partnerID=40&md5=a803e222fd6f169b1f43b2a9ef6ac64b","Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy; Department of Biotechnological and Applied Clinical Sciences, University of L’Aquila, L’Aquila, 67100, Italy; Max Delbrück Center for Molecular Medicine, Berlin, 13125, Germany","Carli M., Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy; Kolachalam S., Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy; Longoni B., Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy; Pintaudi A., Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy; Baldini M., Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy; Aringhieri S., Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy; Fasciani I., Department of Biotechnological and Applied Clinical Sciences, University of L’Aquila, L’Aquila, 67100, Italy; Annibale P., Max Delbrück Center for Molecular Medicine, Berlin, 13125, Germany; Maggio R., Department of Biotechnological and Applied Clinical Sciences, University of L’Aquila, L’Aquila, 67100, Italy; Scarselli M., Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy","M. Carli; Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy; email: carlimarco@outlook.it; M. Scarselli; Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, 56126, Italy; email: marco.scarselli@med.unipi.it","","MDPI AG","14248247","","","","English","Pharmaceuticals","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85103035093"
"Suzuki Y.; Tsuneyama N.; Fukui N.; Sugai T.; Watanabe J.; Ono S.; Saito M.; Inoue Y.; Someya T.","Suzuki, Y. (36020834800); Tsuneyama, N. (35751496000); Fukui, N. (8288280100); Sugai, T. (15046067600); Watanabe, J. (7403297224); Ono, S. (36020527900); Saito, M. (55653362500); Inoue, Y. (49861528200); Someya, T. (55497528100)","36020834800; 35751496000; 8288280100; 15046067600; 7403297224; 36020527900; 55653362500; 49861528200; 55497528100","Effect of risperidone metabolism and P-glycoprotein gene polymorphism on QT interval in patients with schizophrenia","2014","Pharmacogenomics Journal","14","5","","452","456","4","23","10.1038/tpj.2014.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927174427&doi=10.1038%2ftpj.2014.6&partnerID=40&md5=880e1f317228df7830beae50fec76945","Department of Psychiatry, Niigata University, Graduate School of Medical and Dental Sciences, 1-757 Asahimachi-dori, Niigata, 951-8510, Japan; MP-Technopharma Corporation Technology Department, Fukuoka, Japan","Suzuki Y., Department of Psychiatry, Niigata University, Graduate School of Medical and Dental Sciences, 1-757 Asahimachi-dori, Niigata, 951-8510, Japan; Tsuneyama N., Department of Psychiatry, Niigata University, Graduate School of Medical and Dental Sciences, 1-757 Asahimachi-dori, Niigata, 951-8510, Japan; Fukui N., Department of Psychiatry, Niigata University, Graduate School of Medical and Dental Sciences, 1-757 Asahimachi-dori, Niigata, 951-8510, Japan; Sugai T., Department of Psychiatry, Niigata University, Graduate School of Medical and Dental Sciences, 1-757 Asahimachi-dori, Niigata, 951-8510, Japan; Watanabe J., Department of Psychiatry, Niigata University, Graduate School of Medical and Dental Sciences, 1-757 Asahimachi-dori, Niigata, 951-8510, Japan; Ono S., Department of Psychiatry, Niigata University, Graduate School of Medical and Dental Sciences, 1-757 Asahimachi-dori, Niigata, 951-8510, Japan; Saito M., Department of Psychiatry, Niigata University, Graduate School of Medical and Dental Sciences, 1-757 Asahimachi-dori, Niigata, 951-8510, Japan; Inoue Y., MP-Technopharma Corporation Technology Department, Fukuoka, Japan; Someya T., Department of Psychiatry, Niigata University, Graduate School of Medical and Dental Sciences, 1-757 Asahimachi-dori, Niigata, 951-8510, Japan","","","Nature Publishing Group","1470269X","","PJHOA","24589909","English","Pharmacogenomics J.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84927174427"
"Scheggia D.; Mastrogiacomo R.; Mereu M.; Sannino S.; Straub R.E.; Armando M.; Managò F.; Guadagna S.; Piras F.; Zhang F.; Kleinman J.E.; Hyde T.M.; Kaalund S.S.; Pontillo M.; Orso G.; Caltagirone C.; Borrelli E.; De Luca M.A.; Vicari S.; Weinberger D.R.; Spalletta G.; Papaleo F.","Scheggia, Diego (55236514400); Mastrogiacomo, Rosa (55805486900); Mereu, Maddalena (22835487500); Sannino, Sara (57214907372); Straub, Richard E. (7203034348); Armando, Marco (24824023200); Managò, Francesca (24529180200); Guadagna, Simone (23667625800); Piras, Fabrizio (55274309000); Zhang, Fengyu (55367633900); Kleinman, Joel E. (7102245418); Hyde, Thomas M. (7102151375); Kaalund, Sanne S. (24778289900); Pontillo, Maria (55221924600); Orso, Genny (9037121500); Caltagirone, Carlo (35228717800); Borrelli, Emiliana (7006750016); De Luca, Maria A. (7101948866); Vicari, Stefano (7005181215); Weinberger, Daniel R. (25421231500); Spalletta, Gianfranco (57201126550); Papaleo, Francesco (13104302500)","55236514400; 55805486900; 22835487500; 57214907372; 7203034348; 24824023200; 24529180200; 23667625800; 55274309000; 55367633900; 7102245418; 7102151375; 24778289900; 55221924600; 9037121500; 35228717800; 7006750016; 7101948866; 7005181215; 25421231500; 57201126550; 13104302500","Variations in Dysbindin-1 are associated with cognitive response to antipsychotic drug treatment","2018","Nature Communications","9","1","2265","","","","37","10.1038/s41467-018-04711-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048455683&doi=10.1038%2fs41467-018-04711-w&partnerID=40&md5=bbabe89a064b5f29b29b286181e63626","Department of Neuroscience and Brain Technologies, Genetics of Cognition Laboratory, Istituto Italiano di Tecnologia, via Morego, 30, Genova, 16163, Italy; Dipartimento di Scienze Del Farmaco, Universita' degli Studi di Padova, Largo Meneghetti 2, Padova, 35131, Italy; Lieber Institute for Brain Development, Johns Hopkins University Medical Campus, Baltimore, 21205, MD, United States; Department of Neuroscience, Bambino Gesù Children's Hospital, Piazza Sant'Onofrio 4, Rome, 00100, Italy; IRCCS Santa Lucia Foundation, Neuropsychiatry Laboratory, Rome, 00179, Italy; Research Laboratory for Stereology and Neuroscience, Bispebjerg University Hospital, Copenhagen, NV, 2400, Denmark; IRCCS E. Medea Scientific Institute, Bosisio Parini, 23842, Italy; University of California, Irvine, 92697, CA, United States; Department of Biomedical Sciences, Università di Cagliari, Cagliari, 09124, Italy; Departments of Psychiatry, Neurology, Neuroscience, McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins School of Medicine, Baltimore, 21205, MD, United States; Menninger Department of Psychiatry and Behavioral Sciences, Baylor College of Medicine, Houston, 77030, TX, United States; Center for Psychiatric Neuroscience, Department of Psychiatry, University Hospital Center Lausanne, Prilly-Lausanne, CH-1008, Switzerland","Scheggia D., Department of Neuroscience and Brain Technologies, Genetics of Cognition Laboratory, Istituto Italiano di Tecnologia, via Morego, 30, Genova, 16163, Italy, Center for Psychiatric Neuroscience, Department of Psychiatry, University Hospital Center Lausanne, Prilly-Lausanne, CH-1008, Switzerland; Mastrogiacomo R., Department of Neuroscience and Brain Technologies, Genetics of Cognition Laboratory, Istituto Italiano di Tecnologia, via Morego, 30, Genova, 16163, Italy; Mereu M., Department of Neuroscience and Brain Technologies, Genetics of Cognition Laboratory, Istituto Italiano di Tecnologia, via Morego, 30, Genova, 16163, Italy, Dipartimento di Scienze Del Farmaco, Universita' degli Studi di Padova, Largo Meneghetti 2, Padova, 35131, Italy; Sannino S., Department of Neuroscience and Brain Technologies, Genetics of Cognition Laboratory, Istituto Italiano di Tecnologia, via Morego, 30, Genova, 16163, Italy; Straub R.E., Lieber Institute for Brain Development, Johns Hopkins University Medical Campus, Baltimore, 21205, MD, United States; Armando M., Department of Neuroscience, Bambino Gesù Children's Hospital, Piazza Sant'Onofrio 4, Rome, 00100, Italy; Managò F., Department of Neuroscience and Brain Technologies, Genetics of Cognition Laboratory, Istituto Italiano di Tecnologia, via Morego, 30, Genova, 16163, Italy; Guadagna S., Department of Neuroscience and Brain Technologies, Genetics of Cognition Laboratory, Istituto Italiano di Tecnologia, via Morego, 30, Genova, 16163, Italy; Piras F., IRCCS Santa Lucia Foundation, Neuropsychiatry Laboratory, Rome, 00179, Italy; Zhang F., Lieber Institute for Brain Development, Johns Hopkins University Medical Campus, Baltimore, 21205, MD, United States; Kleinman J.E., Lieber Institute for Brain Development, Johns Hopkins University Medical Campus, Baltimore, 21205, MD, United States; Hyde T.M., Lieber Institute for Brain Development, Johns Hopkins University Medical Campus, Baltimore, 21205, MD, United States; Kaalund S.S., Research Laboratory for Stereology and Neuroscience, Bispebjerg University Hospital, Copenhagen, NV, 2400, Denmark; Pontillo M., Department of Neuroscience, Bambino Gesù Children's Hospital, Piazza Sant'Onofrio 4, Rome, 00100, Italy; Orso G., IRCCS E. Medea Scientific Institute, Bosisio Parini, 23842, Italy; Caltagirone C., IRCCS Santa Lucia Foundation, Neuropsychiatry Laboratory, Rome, 00179, Italy; Borrelli E., University of California, Irvine, 92697, CA, United States; De Luca M.A., Department of Biomedical Sciences, Università di Cagliari, Cagliari, 09124, Italy; Vicari S., Department of Neuroscience, Bambino Gesù Children's Hospital, Piazza Sant'Onofrio 4, Rome, 00100, Italy; Weinberger D.R., Lieber Institute for Brain Development, Johns Hopkins University Medical Campus, Baltimore, 21205, MD, United States, Departments of Psychiatry, Neurology, Neuroscience, McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins School of Medicine, Baltimore, 21205, MD, United States; Spalletta G., IRCCS Santa Lucia Foundation, Neuropsychiatry Laboratory, Rome, 00179, Italy, Menninger Department of Psychiatry and Behavioral Sciences, Baylor College of Medicine, Houston, 77030, TX, United States; Papaleo F., Department of Neuroscience and Brain Technologies, Genetics of Cognition Laboratory, Istituto Italiano di Tecnologia, via Morego, 30, Genova, 16163, Italy","F. Papaleo; Department of Neuroscience and Brain Technologies, Genetics of Cognition Laboratory, Istituto Italiano di Tecnologia, Genova, via Morego, 30, 16163, Italy; email: francesco.papaleo@iit.it","","Nature Research","20411723","","","29891954","English","Nat. Commun.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85048455683"
"Rybakowski J.K.","Rybakowski, Janusz K. (7101978525)","7101978525","Application of Antipsychotic Drugs in Mood Disorders","2023","Brain Sciences","13","3","414","","","","15","10.3390/brainsci13030414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151275775&doi=10.3390%2fbrainsci13030414&partnerID=40&md5=7b025db74a6b09ae27c1f37e4d193930","Department of Adult Psychiatry, Poznan University of Medical Sciences, Poznan, 60-572, Poland","Rybakowski J.K., Department of Adult Psychiatry, Poznan University of Medical Sciences, Poznan, 60-572, Poland","J.K. Rybakowski; Department of Adult Psychiatry, Poznan University of Medical Sciences, Poznan, 60-572, Poland; email: janusz.rybakowski@gmail.com","","MDPI","20763425","","","","English","Brain Sci.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85151275775"
"Boiko A.S.; Ivanova S.A.; Pozhidaev I.V.; Freidin M.B.; Osmanova D.Z.; Fedorenko O.Y.; Semke A.V.; Bokhan N.A.; Wilffert B.; Loonen A.J.M.","Boiko, Anastasiia S. (55695787000); Ivanova, Svetlana A. (36113599800); Pozhidaev, Ivan V. (57188551226); Freidin, Maxim B. (7003624123); Osmanova, Diana Z. (57188558197); Fedorenko, Olga Yu (6603665833); Semke, Arkadyi V. (56004076800); Bokhan, Nikolay A. (6506895310); Wilffert, Bob (55653248000); Loonen, Anton J. M. (16492119900)","55695787000; 36113599800; 57188551226; 7003624123; 57188558197; 6603665833; 56004076800; 6506895310; 55653248000; 16492119900","Pharmacogenetics of tardive dyskinesia in schizophrenia: The role of CHRM1 and CHRM2 muscarinic receptors","2020","World Journal of Biological Psychiatry","21","1","","72","77","5","12","10.1080/15622975.2018.1548780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059900059&doi=10.1080%2f15622975.2018.1548780&partnerID=40&md5=c95b5b8e98209d949cba6f235bd442d0","Mental Health Research Institute, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation; National Research Tomsk Polytechnic University, Tomsk, Russian Federation; National Research Tomsk State University, Tomsk, Russian Federation; Department of Twin Research and Genetic Epidemiology, School of Live Course Sciences, King's College London, London, United Kingdom; Research Institute of Medical Genetics, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation; Groningen Research Institute of Pharmacy, Unit of PharmacoTherapy, -Epidemiology & -Economics, University of Groningen, Groningen, Netherlands; Department of Clinical Pharmacy and Pharmacology, University of Groningen, University Medical Center Groningen, Groningen, Netherlands; GGZ WNB, Mental health hospital, Bergen op Zoom, Netherlands","Boiko A.S., Mental Health Research Institute, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation; Ivanova S.A., Mental Health Research Institute, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation, National Research Tomsk Polytechnic University, Tomsk, Russian Federation; Pozhidaev I.V., Mental Health Research Institute, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation, National Research Tomsk State University, Tomsk, Russian Federation; Freidin M.B., Department of Twin Research and Genetic Epidemiology, School of Live Course Sciences, King's College London, London, United Kingdom, Research Institute of Medical Genetics, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation; Osmanova D.Z., Mental Health Research Institute, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation, National Research Tomsk State University, Tomsk, Russian Federation; Fedorenko O.Y., Mental Health Research Institute, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation, National Research Tomsk Polytechnic University, Tomsk, Russian Federation; Semke A.V., Mental Health Research Institute, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation; Bokhan N.A., Mental Health Research Institute, Tomsk National Research Medical Center of the Russian Academy of Sciences, Tomsk, Russian Federation, National Research Tomsk State University, Tomsk, Russian Federation; Wilffert B., Groningen Research Institute of Pharmacy, Unit of PharmacoTherapy, -Epidemiology & -Economics, University of Groningen, Groningen, Netherlands, Department of Clinical Pharmacy and Pharmacology, University of Groningen, University Medical Center Groningen, Groningen, Netherlands; Loonen A.J.M., Groningen Research Institute of Pharmacy, Unit of PharmacoTherapy, -Epidemiology & -Economics, University of Groningen, Groningen, Netherlands, GGZ WNB, Mental health hospital, Bergen op Zoom, Netherlands","A.J.M. Loonen; Groningen Research Institute of Pharmacy, Unit of PharmacoTherapy, -Epidemiology & -Economics, University of Groningen, Groningen, Antonius Deusinglaan 1, 9713AV, Netherlands; email: a.j.m.loonen@rug.nl","","Taylor and Francis Ltd","15622975","","","30623717","English","World J. Biol. Psychiatry","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85059900059"
"Ramsey T.L.; Liu Q.; Massey B.W.; Brennan M.D.","Ramsey, Timothy L. (50561906400); Liu, Qian (57192280127); Massey, Bill W. (7006567536); Brennan, Mark D. (7402656346)","50561906400; 57192280127; 7006567536; 7402656346","Genotypic variation in the SV2C gene impacts response to atypical antipsychotics the CATIE Study","2013","Schizophrenia Research","149","1-3","","21","25","4","18","10.1016/j.schres.2013.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881257528&doi=10.1016%2fj.schres.2013.07.008&partnerID=40&md5=0faa5c2c53adda0c5da4a4486f9f6efe","SureGene, LLC, Louisville, KY 40299, 600 Envoy Circle, suite 601, United States","Ramsey T.L., SureGene, LLC, Louisville, KY 40299, 600 Envoy Circle, suite 601, United States; Liu Q., SureGene, LLC, Louisville, KY 40299, 600 Envoy Circle, suite 601, United States; Massey B.W., SureGene, LLC, Louisville, KY 40299, 600 Envoy Circle, suite 601, United States; Brennan M.D., SureGene, LLC, Louisville, KY 40299, 600 Envoy Circle, suite 601, United States","M.D. Brennan; SureGene, LLC, Louisville, KY 40299, 600 Envoy Circle, suite 601, United States; email: mark.brennan@suregene.net","","","15732509","","SCRSE","23886675","English","Schizophr. Res.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84881257528"
"Singh S.; Ricardo-Silgado M.L.; Bielinski S.J.; Acosta A.","Singh, Sneha (57221839345); Ricardo-Silgado, Maria L. (57194528320); Bielinski, Suzette J. (12142128900); Acosta, Andres (55844615900)","57221839345; 57194528320; 12142128900; 55844615900","Pharmacogenomics of Medication-Induced Weight Gain and Antiobesity Medications","2021","Obesity","29","2","","265","273","8","23","10.1002/oby.23068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100362408&doi=10.1002%2foby.23068&partnerID=40&md5=fa51e5fa37871248b5107a989333f330","Precision Medicine for Obesity Program, Clinical Enteric Neuroscience Translational and Epidemiological Research (CENTER), Mayo Clinic, Rochester, MN, United States; Division of Gastroenterology and Hepatology, Department of Medicine, Mayo Clinic, Rochester, MN, United States; Health Science Research, Division of Epidemiology, Mayo Clinic, Rochester, MN, United States","Singh S., Precision Medicine for Obesity Program, Clinical Enteric Neuroscience Translational and Epidemiological Research (CENTER), Mayo Clinic, Rochester, MN, United States, Division of Gastroenterology and Hepatology, Department of Medicine, Mayo Clinic, Rochester, MN, United States; Ricardo-Silgado M.L., Precision Medicine for Obesity Program, Clinical Enteric Neuroscience Translational and Epidemiological Research (CENTER), Mayo Clinic, Rochester, MN, United States, Division of Gastroenterology and Hepatology, Department of Medicine, Mayo Clinic, Rochester, MN, United States; Bielinski S.J., Health Science Research, Division of Epidemiology, Mayo Clinic, Rochester, MN, United States; Acosta A., Precision Medicine for Obesity Program, Clinical Enteric Neuroscience Translational and Epidemiological Research (CENTER), Mayo Clinic, Rochester, MN, United States, Division of Gastroenterology and Hepatology, Department of Medicine, Mayo Clinic, Rochester, MN, United States","A. Acosta; Precision Medicine for Obesity Program, Clinical Enteric Neuroscience Translational and Epidemiological Research (CENTER), Mayo Clinic, Rochester, United States; email: acosta.andres@mayo.edu; A. Acosta; Division of Gastroenterology and Hepatology, Department of Medicine, Mayo Clinic, Rochester, United States; email: acosta.andres@mayo.edu","","Blackwell Publishing Inc.","19307381","","","33491309","English","Obesity","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85100362408"
"Hernandez M.; Cullell N.; Cendros M.; Serra-Llovich A.; Arranz M.J.","Hernandez, Marta (55995194100); Cullell, Natalia (57188622354); Cendros, Marc (57210232049); Serra-Llovich, Alexandre (57572414700); Arranz, Maria J. (57210677495)","55995194100; 57188622354; 57210232049; 57572414700; 57210677495","Clinical Utility and Implementation of Pharmacogenomics for the Personalisation of Antipsychotic Treatments","2024","Pharmaceutics","16","2","244","","","","0","10.3390/pharmaceutics16020244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187205530&doi=10.3390%2fpharmaceutics16020244&partnerID=40&md5=8638c3e861d09f55702b09f5f4a412a1","PHAGEX Research Group, University Ramon Llull, Barcelona, 08022, Spain; School of Health Sciences Blanquerna, University Ramon Llull, Barcelona, 08022, Spain; Fundació Docència i Recerca Mútua Terrassa, Terrassa, 08221, Spain; Department of Neurology, Hospital Universitari Mútua Terrassa, Terrassa, 08221, Spain; EUGENOMIC Genómica y Farmacogenética, Barcelona, 08029, Spain","Hernandez M., PHAGEX Research Group, University Ramon Llull, Barcelona, 08022, Spain, School of Health Sciences Blanquerna, University Ramon Llull, Barcelona, 08022, Spain; Cullell N., Fundació Docència i Recerca Mútua Terrassa, Terrassa, 08221, Spain, Department of Neurology, Hospital Universitari Mútua Terrassa, Terrassa, 08221, Spain; Cendros M., EUGENOMIC Genómica y Farmacogenética, Barcelona, 08029, Spain; Serra-Llovich A., Fundació Docència i Recerca Mútua Terrassa, Terrassa, 08221, Spain; Arranz M.J., PHAGEX Research Group, University Ramon Llull, Barcelona, 08022, Spain, Fundació Docència i Recerca Mútua Terrassa, Terrassa, 08221, Spain","M.J. Arranz; PHAGEX Research Group, University Ramon Llull, Barcelona, 08022, Spain; email: mjarranz@mutuaterrassa.es","","Multidisciplinary Digital Publishing Institute (MDPI)","19994923","","","","English","Pharmaceutics","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85187205530"
"Burghardt K.J.; Ellingrod V.L.","Burghardt, Kyle J. (57200238162); Ellingrod, Vicki L. (6603854164)","57200238162; 6603854164","Detection of metabolic syndrome in schizophrenia and implications for antipsychotic therapy: Is there a role for folate?","2013","Molecular Diagnosis and Therapy","17","1","","21","30","9","29","10.1007/s40291-013-0017-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873452722&doi=10.1007%2fs40291-013-0017-8&partnerID=40&md5=a3c8ff387938ae2d7192f30131866395","Department of Clinical Social and Administrative Sciences, College of Pharmacy, University of Michigan, Ann Arbor, MI 48109, 428 Church Street, United States; Department of Psychiatry, School of Medicine, University of Michigan, Ann Arbor, MI, United States","Burghardt K.J., Department of Clinical Social and Administrative Sciences, College of Pharmacy, University of Michigan, Ann Arbor, MI 48109, 428 Church Street, United States; Ellingrod V.L., Department of Clinical Social and Administrative Sciences, College of Pharmacy, University of Michigan, Ann Arbor, MI 48109, 428 Church Street, United States, Department of Psychiatry, School of Medicine, University of Michigan, Ann Arbor, MI, United States","V.L. Ellingrod; Department of Clinical Social and Administrative Sciences, College of Pharmacy, University of Michigan, Ann Arbor, MI 48109, 428 Church Street, United States; email: vellingr@umich.edu","","","11792000","","","23341251","English","Mol. Diagn. Ther.","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84873452722"
"Lett T.A.P.; Wallace T.J.M.; Chowdhury N.I.; Tiwari A.K.; Kennedy J.L.; Müller D.J.","Lett, T.A.P. (42461937900); Wallace, T.J.M. (49662687200); Chowdhury, N.I. (36499187900); Tiwari, A.K. (8639379500); Kennedy, J.L. (57218564693); Müller, D.J. (56020756900)","42461937900; 49662687200; 36499187900; 8639379500; 57218564693; 56020756900","Pharmacogenetics of antipsychotic-induced weight gain: Review and clinical implications","2012","Molecular Psychiatry","17","3","","242","266","24","208","10.1038/mp.2011.109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857356940&doi=10.1038%2fmp.2011.109&partnerID=40&md5=37266f76d7a84912ff87c92ca0b9ef0f","Pharmacogenetics Research Clinic, Centre for Addiction and Mental Health, Toronto, ON M5T 1R8, 250 College Street R 30, Canada","Lett T.A.P., Pharmacogenetics Research Clinic, Centre for Addiction and Mental Health, Toronto, ON M5T 1R8, 250 College Street R 30, Canada; Wallace T.J.M., Pharmacogenetics Research Clinic, Centre for Addiction and Mental Health, Toronto, ON M5T 1R8, 250 College Street R 30, Canada; Chowdhury N.I., Pharmacogenetics Research Clinic, Centre for Addiction and Mental Health, Toronto, ON M5T 1R8, 250 College Street R 30, Canada; Tiwari A.K., Pharmacogenetics Research Clinic, Centre for Addiction and Mental Health, Toronto, ON M5T 1R8, 250 College Street R 30, Canada; Kennedy J.L., Pharmacogenetics Research Clinic, Centre for Addiction and Mental Health, Toronto, ON M5T 1R8, 250 College Street R 30, Canada; Müller D.J., Pharmacogenetics Research Clinic, Centre for Addiction and Mental Health, Toronto, ON M5T 1R8, 250 College Street R 30, Canada","D.J. Müller; Pharmacogenetics Research Clinic, Centre for Addiction and Mental Health, Toronto, ON M5T 1R8, 250 College Street R 30, Canada; email: daniel_mueller@camh.net","","","14765578","","MOPSF","21894153","English","Mol. Psychiatry","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84857356940"
